transaction_id,timestamp,amount,currency,payment_method,card_id,ip_address,device_fingerprint,merchant_id,customer_id,customer_city,customer_state,is_fraud,fraud_type
TXN_002894,2026-08-05 08:19:45.538096,1576.72,INR,upi,CARD_0141,10.192.94.224,DEV_9294,M009,C0273,Pune,Maharashtra,0,
TXN_002927,2026-08-13 01:35:44.538096,2056.31,INR,wallet,CARD_0115,10.152.206.244,DEV_8461,M006,C0187,Hyderabad,Telangana,0,
TXN_008178,2026-08-20 12:02:03.538096,17518.35,INR,upi,CARD_0182,10.140.199.82,DEV_2752,M005,C0167,Mumbai,Maharashtra,0,
TXN_000971,2026-08-14 06:18:47.538096,20283.12,INR,upi,CARD_0121,10.222.146.2,DEV_7112,M010,C0449,Delhi,Delhi,0,
TXN_006687,2026-08-13 06:42:09.538096,21935.05,INR,card,CARD_0171,10.63.134.1,DEV_6734,M005,C0229,Jaipur,Rajasthan,0,
TXN_008575,2026-08-16 03:07:36.538096,2431.78,INR,upi,CARD_0008,10.99.41.220,DEV_9467,M007,C0027,Jaipur,Rajasthan,0,
TXN_002020,2026-09-01 22:41:31.538096,11063.33,INR,upi,CARD_0036,10.132.63.6,DEV_5182,M005,C0276,Ahmedabad,Gujarat,0,
TXN_009054,2026-08-26 11:39:53.538096,2832.43,INR,upi,CARD_0151,10.25.48.80,DEV_9018,M009,C0443,Mumbai,Maharashtra,0,
TXN_000952,2026-08-15 03:01:11.538096,14636.83,INR,upi,CARD_0089,10.229.195.93,DEV_6969,M010,C0233,Chennai,Tamil Nadu,0,
TXN_005359,2026-08-23 06:44:56.538096,12549.24,INR,card,CARD_0079,10.228.229.22,DEV_5795,M005,C0442,Bangalore,Karnataka,0,
TXN_003857,2026-08-23 04:24:04.538096,11491.88,INR,upi,CARD_0005,10.193.219.85,DEV_5161,M002,C0008,Ahmedabad,Gujarat,0,
TXN_005861,2026-08-04 03:51:04.538096,467.69,INR,upi,CARD_0179,10.255.41.148,DEV_1881,M006,C0320,Jaipur,Rajasthan,0,
TXN_003145,2026-08-15 06:16:12.538096,750.51,INR,card,CARD_0195,10.199.237.94,DEV_4982,M006,C0131,Lucknow,Uttar Pradesh,0,
TXN_003305,2026-08-22 01:05:50.538096,3852.85,INR,wallet,CARD_0165,10.127.183.93,DEV_8469,M009,C0333,Chennai,Tamil Nadu,0,
TXN_003006,2026-08-04 23:29:17.538096,4572.06,INR,card,CARD_0060,10.140.118.98,DEV_7302,M009,C0102,Bangalore,Karnataka,0,
TXN_009001,2026-08-16 16:59:08.538096,1754.94,INR,card,CARD_0137,10.10.86.144,DEV_9185,M007,C0414,Kolkata,West Bengal,0,
TXN_007770,2026-08-18 01:33:10.538096,6930.88,INR,wallet,CARD_0092,10.139.0.10,DEV_3604,M001,C0200,Bangalore,Karnataka,0,
TXN_007438,2026-08-12 20:21:03.538096,2755.76,INR,card,CARD_0136,10.101.160.184,DEV_1142,M007,C0390,Ahmedabad,Gujarat,0,
TXN_007942,2026-08-24 20:23:51.538096,12619.57,INR,card,CARD_0092,10.52.14.199,DEV_8367,M005,C0455,Lucknow,Uttar Pradesh,0,
TXN_009238,2026-08-29 07:24:29.538096,8307.52,INR,upi,CARD_0142,10.103.111.13,DEV_2830,M001,C0018,Bangalore,Karnataka,0,
TXN_001056,2026-08-20 17:21:53.538096,14210.49,INR,card,CARD_0062,10.253.197.68,DEV_3217,M005,C0492,Mumbai,Maharashtra,0,
TXN_003154,2026-09-01 11:48:55.538096,8747.47,INR,card,CARD_0114,10.203.151.32,DEV_1797,M004,C0203,Kolkata,West Bengal,0,
TXN_003787,2026-08-11 22:17:14.538096,5611.46,INR,upi,CARD_0098,10.173.255.218,DEV_4856,M001,C0428,Hyderabad,Telangana,0,
TXN_009189,2026-08-31 06:03:41.538096,1240.23,INR,upi,CARD_0063,10.130.83.32,DEV_4149,M001,C0258,Chennai,Tamil Nadu,0,
TXN_007825,2026-08-24 18:41:18.538096,28378.08,INR,upi,CARD_0153,10.96.8.204,DEV_5640,M010,C0064,Hyderabad,Telangana,0,
TXN_007539,2026-09-01 16:05:19.538096,29136.55,INR,upi,CARD_0027,10.142.187.2,DEV_6011,M010,C0003,Ahmedabad,Gujarat,0,
TXN_007231,2026-08-21 19:13:32.538096,6721.34,INR,upi,CARD_0142,10.89.185.241,DEV_1001,M004,C0028,Kolkata,West Bengal,0,
